Year/Month/Day or Period,Event,Category,Economic/Market Impact (S&P 500),,,,,,,,,,,,,,,,,,,,,
2008-8-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-8-31,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-9-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-10-31,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-11-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-12-31,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-1-31,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-2-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2009-3-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
